timestamp,open,high,low,close,EMA12,EMA26,EMA9,histogram1,histogram2
'2016.03.11 03:00',1.11455,1.11555,1.11417,1.1152,1.116084,1.112086,0.004571,-0.000573,-0.000761
'2016.03.11 04:00',1.11129,1.11162,1.11115,1.11161,1.115395,1.11205,0.004326,-0.000981,-0.001225
'2016.03.11 05:00',1.1111,1.11124,1.11093,1.11124,1.114756,1.11199,0.004014,-0.001248,-0.001377
'2016.03.11 06:00',1.10842,1.10863,1.10832,1.1086,1.113809,1.111739,0.003625,-0.001555,-0.001648
'2016.03.11 07:00',1.11046,1.11046,1.11032,1.11044,1.113291,1.111643,0.00323,-0.001582,-0.00152
'2016.03.11 08:00',1.10983,1.11028,1.10977,1.11023,1.11282,1.111538,0.00284,-0.001559,-0.001462
'2016.03.11 09:00',1.11242,1.11243,1.112,1.11229,1.112738,1.111594,0.002501,-0.001357,-0.001193
'2016.03.11 10:00',1.1142,1.1142,1.11352,1.11416,1.112957,1.111784,0.002235,-0.001062,-0.000872
'2016.03.11 11:00',1.11584,1.11597,1.11542,1.11582,1.113398,1.112083,0.002051,-0.000737,-0.000537
'2016.03.11 12:00',1.11783,1.11798,1.11777,1.11777,1.11407,1.112504,0.001954,-0.000388,-0.00018
'2016.03.11 13:00',1.11561,1.11575,1.11557,1.11571,1.114322,1.112742,0.001879,-0.000299,-0.000257
'2016.03.11 14:00',1.11615,1.11615,1.11588,1.1159,1.114565,1.112976,0.001821,-0.000232,-0.000209
'2016.03.11 15:00',1.11577,1.11582,1.11562,1.11574,1.114746,1.11318,0.00177,-0.000205,-0.000206
'2016.03.11 16:00',1.11503,1.11519,1.11498,1.115,1.114785,1.113315,0.00171,-0.00024,-0.000276
'2016.03.13 17:00',1.11372,1.11418,1.11354,1.11381,1.114635,1.113352,0.001625,-0.000342,-0.00041
'2016.03.13 18:00',1.11445,1.11466,1.11442,1.11466,1.114639,1.113449,0.001538,-0.000348,-0.00036
'2016.03.13 19:00',1.11648,1.11674,1.11648,1.11674,1.114962,1.113693,0.001484,-0.000215,-0.000141
'2016.03.13 20:00',1.11649,1.1165,1.11603,1.1163,1.115168,1.113886,0.001444,-0.000162,-0.000147
'2016.03.13 21:00',1.11519,1.11525,1.11515,1.11521,1.115174,1.113984,0.001393,-0.000203,-0.000242
'2016.03.13 22:00',1.1153,1.11559,1.1153,1.11555,1.115232,1.1141,0.001341,-0.000209,-0.000221
'2016.03.13 23:00',1.11579,1.11592,1.11579,1.11581,1.115321,1.114227,0.001292,-0.000197,-0.0002
'2016.03.14 00:00',1.11579,1.11579,1.11578,1.11578,1.115392,1.114342,0.001243,-0.000193,-0.000204
'2016.03.14 01:00',1.11632,1.11632,1.11618,1.11623,1.115521,1.114481,0.001203,-0.000163,-0.000159
'2016.03.14 02:00',1.11577,1.11611,1.11577,1.11609,1.115608,1.114601,0.001164,-0.000156,-0.000159
'2016.03.14 03:00',1.1152,1.11545,1.11509,1.1152,1.115545,1.114645,0.001111,-0.000211,-0.000251
'2016.03.14 04:00',1.11418,1.11418,1.11334,1.11334,1.115206,1.114548,0.00102,-0.000363,-0.000465
'2016.03.14 05:00',1.11152,1.11155,1.11145,1.11145,1.114628,1.114319,0.000878,-0.000569,-0.000692
'2016.03.14 06:00',1.1125,1.11268,1.11203,1.11206,1.114233,1.114152,0.000719,-0.000637,-0.000667
'2016.03.14 07:00',1.11132,1.11144,1.11119,1.11141,1.113799,1.113948,0.000545,-0.000695,-0.000715
'2016.03.14 08:00',1.11076,1.11097,1.11069,1.11086,1.113347,1.11372,0.000362,-0.000734,-0.000737
'2016.03.14 09:00',1.11256,1.11276,1.11241,1.11261,1.113233,1.113637,0.000208,-0.000613,-0.00052
'2016.03.14 10:00',1.11111,1.11117,1.11081,1.11104,1.112896,1.113445,0.000057,-0.000606,-0.000588
'2016.03.14 11:00',1.11002,1.11016,1.10971,1.1098,1.11242,1.113175,-0.000106,-0.00065,-0.000655
'2016.03.14 12:00',1.11062,1.11078,1.11059,1.11075,1.112163,1.112995,-0.000251,-0.000582,-0.000518
'2016.03.14 13:00',1.11002,1.11022,1.10994,1.1102,1.111861,1.112788,-0.000386,-0.000541,-0.000495
'2016.03.14 14:00',1.10853,1.10871,1.10841,1.10862,1.111362,1.11248,-0.000533,-0.000585,-0.000588
'2016.03.14 15:00',1.10936,1.10975,1.10932,1.10954,1.111082,1.112262,-0.000662,-0.000518,-0.000448
'2016.03.14 16:00',1.10975,1.10985,1.10975,1.10984,1.110891,1.112082,-0.000768,-0.000424,-0.000344
'2016.03.14 17:00',1.11009,1.11015,1.11005,1.11015,1.110777,1.111939,-0.000847,-0.000316,-0.000231
'2016.03.14 18:00',1.1102,1.11025,1.10994,1.11005,1.110665,1.111799,-0.000904,-0.00023,-0.000162
